number_in_series,number_in_season,Title,Directed by,Written by,original_air_date,production_code,us_viewers_in_millions
66,18,"""The Dragon and the Fairy""",Tony Wharmby,Joe Sachs,"March 20, 2012",318,16.17
67,19,"""Vengeance""",James Whitmore Jr.,Frank Military,"March 27, 2012",319,14.75
68,20,"""Patriot Acts""",Dennis Smith,Jordana Lewis Jaffe,"April 10, 2012",320,12.86
69,21,"""Touch of Death""",Tony Wharmby,Michele Fazekas & Tara Butters & R. Scott Gemmill,"May 1, 2012",321,15.21
70,22,"""Neighborhood Watch""",Robert Florio,Christina M. Kim,"May 8, 2012",322,14.56
71,23,"""Sans Voir (Part I)""",John Peter Kousakis,Gil Grant,"May 15, 2012",323,15.19
72,24,"""Sans Voir (Part II)""",Terrence O'Hara,Shane Brennan,"May 15, 2012",324,15.19
73,1,"""Endgame""",Terrence O'Hara,Shane Brennan,"September 25, 2012",401,16.74
74,2,"""Recruit""",James Whitmore Jr.,R. Scott Gemmill,"October 2, 2012",402,14.91
75,3,"""The Fifth Man""",John Peter Kousakis,Dave Kalstein,"October 9, 2012",403,15.18
76,4,"""Dead Body Politic""",Tony Wharmby,Jordana Lewis Jaffe,"October 23, 2012",404,16.53
77,5,"""Out of the Past""",Dennis Smith,Frank Military,"October 30, 2012",405,16.28
78,6,"""Rude Awakenings""",Karen Gaviola,Frank Military,"November 13, 2012",406,15.77
79,7,"""Skin Deep""",Paul A. Kaufman,Gil Grant,"November 20, 2012",407,15.13
80,8,"""Collateral""",Kate Woods,Cheo Hodari Coker,"November 27, 2012",408,14.49
81,9,"""The Gold Standard""",Tony Wharmby,Joseph C. Wilson,"December 11, 2012",409,15.12
82,10,"""Free Ride""",Jonathan Frakes,Tim Clemente & R. Scott Gemmil,"December 18, 2012",410,15.48
83,11,"""Drive""",Steven DePaul,Joe Sachs,"January 8, 2013",411,17.9
84,12,"""Paper Soldiers""",Terrence O'Hara,Jordana Lewis Jaffe,"January 15, 2013",412,17.63
85,13,"""The Chosen One""",Paul A. Kaufman,Cheo Hodari Coker,"January 29, 2013",413,17.3
86,14,"""Kill House""",Larry Teng,Dave Kalstein,"February 5, 2013",414,16.67
87,15,"""History""",James Whitmore Jr.,Scott Sullivan,"February 19, 2013",415,16.27
88,16,"""Lokhay""",Diana C. Valentine,Joseph C. Wilson,"February 26, 2013",416,17.02
89,17,"""Wanted""",Chris O'Donnell,R. Scott Gemmill,"March 5, 2013",417,16.24
90,18,"""Red""",Tony Wharmby,Shane Brennan,"March 19, 2013",418,16.84
91,19,"""Red-2""",Tony Wharmby,Shane Brennan,"March 26, 2013",419,14.53
92,20,"""Purity""",Eric Laneuville,Joe Sachs,"April 9, 2013",420,14.1
93,21,"""Resurrection""",Eric A. Pot,Dave Kalstein & Gil Grant,"April 23, 2013",421,14.22
94,22,"""Raven & The Swans""",Robert Florio,R. Scott Gemmill,"April 30, 2013",422,13.07
95,23,"""Parley""",John Peter Kousakis,Cheo Hodari Coker,"May 7, 2013",423,13.18
96,24,"""Descent""",Terrence O'Hara,Frank Military,"May 14, 2013",424,13.52
97,1,"""Ascension""",Terrence O'Hara,Frank Military,"September 24, 2013",501,16.35
98,2,"""Impact""",Jonathan Frakes,Sara Servi & R. Scott Gemmill,"October 1, 2013",502,15.09
99,3,"""Omni""",Larry Teng,Kyle Harimoto,"October 8, 2013",503,14.84
100,4,"""Reznikov, N.""",Tony Wharmby,Shane Brennan,"October 15, 2013",504,14.65
101,5,"""Unwritten Rule""",Larry Teng,Joseph C. Wilson & Jordana Lewis Jaffe,"October 22, 2013",425,14.92
102,6,"""Big Brother""",Steven DePaul,Jordana Lewis Jaffe,"October 29, 2013",506,14.95
103,7,"""The Livelong Day""",Dennis Smith,Joe Sachs,"November 5, 2013",505,14.76
104,8,"""Fallout""",Diana C. Valentine,Joseph C. Wilson,"November 12, 2013",507,14.88
105,9,"""Recovery""",Paul A. Kaufman,Gil Grant,"November 19, 2013",508,14.99
106,10,"""The Frozen Lake""",John Peter Kousakis,Dave Kalstein,"November 26, 2013",509,12.32
107,11,"""Iron Curtain Rising""",Tony Wharmby,Jordana Lewis Jaffe,"December 10, 2013",510,15.24
108,12,"""Merry Evasion""",Karen Gaviola,Kyle Harimoto,"December 17, 2013",511,15.58
109,13,"""Allegiance""",Eric Laneuville,Frank Military & Andrew Bartels,"January 14, 2014",512,15.87
110,14,"""War Cries""",James Hanlon,R. Scott Gemmill,"February 4, 2014",513,16.34
111,15,"""Tuhon""",Christine Moore,Dave Kalstein,"February 25, 2014",514,13.15
112,16,"""Fish Out of Water""",Terrence O'Hara,Joe Sachs,"March 4, 2014",515,14.37
113,17,"""Between the Lines""",Dennis Smith,Joseph C. Wilson,"March 18, 2014",516,14.21
114,18,"""Zero Days""",Tony Wharmby,Andrew Bartels,"March 25, 2014",517,15.54
115,19,"""Spoils of War""",Frank Military,Frank Military,"April 1, 2014",518,15.31
116,20,"""Windfall""",Eric A. Pot,Gil Grant,"April 8, 2014",519,14.56
117,21,"""Three Hearts""",Diana C. Valentine,Dave Kalstein & Kyle Harimoto,"April 15, 2014",520,14.69
118,22,"""One More Chance""",Tony Wharmby,David J. North,"April 29, 2014",521,14.83
119,23,"""Exposure""",Robert Florio,Joseph C. Wilson & Jordana Lewis Jaffe,"May 6, 2014",522,14.11
120,24,"""Deep Trouble""",Larry Teng,R. Scott Gemmill,"May 13, 2014",523,14.85
